"","data.INSTNM","data.TUITFTE","value"
"510","Saddleback College","1004",0.138138138138138
"511","Samra University of Oriental Medicine","8347",0.667076167076167
"512","Samuel Merritt University","37284",0.000281928390188892
"513","San Diego City College","399",0.573275862068966
"514","Golf Academy of America-Carlsbad","9685",0.191553544494721
"515","San Diego Mesa College","407",0.147487844408428
"516","San Diego Miramar College","391",0.179279279279279
"517","San Diego State University","4458",0.0822031552726266
"518","University of San Diego","25601",0.0800707808007078
"519","San Francisco Art Institute","20991",0.0265486725663717
"520","San Francisco Conservatory of Music","23325",0.119841094681086
"521","San Francisco State University","4686",0.0844614479105356
"522","San Francisco Theological Seminary","6485",0.103891125167721
"523","University of San Francisco","20949",0.080370942812983
"524","San Joaquin College of Law","17190",0.104082806210466
"525","San Joaquin Delta College","374",0.237012987012987
"526","San Joaquin Valley College-Visalia","6252",0.133680555555556
"527","San Joaquin Valley College-Bakersfield","6119",0.133680555555556
"528","William Jessup University","19172",0.056692542931075
"529","San Jose City College","337",0.68586387434555
"530","San Jose State University","4858",0.0957997698504028
"531","College of San Mateo","691",0.157237936772047
"532","Santa Barbara Business College-Bakersfield","7551",0.0908296943231441
"533","Westwood College-Los Angeles","20509",0.0710270822687787
"534","Santa Barbara Business College-Santa Maria","7866",0.135261923377639
"535","Santa Barbara City College","940",0.0800555298472929
"536","Santa Clara University","24673",0.0832028191072827
"537","Santa Monica College","1503",0.113544201135442
"538","Santa Rosa Junior College","822",0.213077790304397
"539","Saybrook University","18627",0.103891125167721
"540","Scripps College","26625",0.0514705882352941
"541","Wyotech-Fremont","11994",0.173946360153257
"542","College of the Sequoias","405",0.0866318147871546
"543","Shasta Bible College and Graduate School","5478",0.741803278688525
"544","Shasta College","738",0.151633986928105
"545","Sierra College","867",0.136120042872454
"546","Sierra College of Beauty","2427",0.0103273577552611
"547","Sierra Valley College of Court Reporting","7133",0.0912427897220766
"548","Trinity Law School","19662",0.0700053850296177
"549","Simpson University","11249",0.0523318872017354
"550","College of the Siskiyous","359",0.184451219512195
"551","Charles A Jones Career and Education Center","271",0.0274691981417895
"552","Skyline College","507",0.14431586113002
"553","San Bernardino Valley College","481",0.16060225846926
